type,gender,word,cn,forms,example
n,der,Stock,楼层,Pl. Stockwerke,Das Wohnhaus hat acht Stockwerke.
n,das,Kaufhaus,百货大楼、百货商店,Pl. Kaufhäuser,Karstadt ist ein Kaufhaus in Deutschland.
v,,kaufen,购买,,Die Studenten kaufen gern Bücher.
n,die,Sportbekleidung,运动服,Pl. Sportbekleidungen,Die Studenten tragen lieber Sportbekleidung.
n,das,Gerät,器具、器械、用具,Pl. Geräte,Gute Sportgeräte sind teuer.
n,die,Dame,女士,Pl. Damen,Meine Damen und Herren!
n,die,Toilette,厕所、洗手间,Pl. Toiletten,Im Kaufhaus gibt es auf jedem Stockwerk Toiletten.
n,die,Schreibware,文具、办公用品,Pl. Schreibwaren,Die Mutter kauft Schreibwaren für ihre Kinder.
n,die,Zeitschrift,杂志、期刊,Pl. Zeitschriften,Wie heißt die Zeitschrift?
n,der,Haushalt,家政、家务,,Meine Mutter macht bei mir zu Hause den Haushalt.
v,,grüßen,问候、打招呼,,Grüß dich; Lea.
n,das,Geschenk,礼物,Pl. Geschenke,Ich suche ein Geschenk für meine Freundin.
v,,wollen,愿意、打算、希望,er will,Was willst du ihr denn schenken?
v,,schenken,赠送,,Was willst du ihr denn schenken?
v,,können,能够、会、可能,er kann,Was kann ich ihr bloß schenken?
adv,,bloß,(加强命令句或问句语气)千万、究竟、到底,,Was kann ich ihr bloß schenken?
v,,wissen,知道、了解,er weiß,Das weiß ich nicht.
n,die,Mütze,(无帽檐的)帽子、便帽,Pl. Mützen,Wie wär's mit einer Mütze?
n,das,Mädchen,少女、姑娘,Pl. Mädchen,Frau Mayer hat zwei Kinder; ein Mädchen und einen Jungen.
v,,tragen,穿、戴,er trägt,Er trägt eine Brille.
pron,,alle,所有的(人),,Sind alle da?
n,die,Etage,楼层,Pl. Etagen,In der ersten Etage findet man Mützen.
v,,hin/gehen,去(某处或某人处),,Wo gehen Sie hin?
v,,gucken,瞧、张望,,Guck mal; hier sind Mützen.
pron,,welcher,(疑问代词)哪个、哪些,,Hier sind Kugelschreiber. Welchen möchten Sie?
adj,,rot,红色,,Die rote Blume möchte ich meiner Mutter schenken.
n,die,Farbe,颜色,Pl. Farben,Die Farbe steht mir nicht besonders.
v,,stehen,适合于,,Die Farbe steht mir nicht besonders.
v,,halten,认为,er hält,Was hältst du von dem Handy hier?
v,,meinen,认为、觉得、指,,Meinst du die blaue?
adj,,blau,蓝色的,,Gefällst dir das blaue Fahrrad?
adj,,schwarz,黑色的,,Mit der schwarzen Mütze sieht deine Freundin bestimmt gut aus.
v,,nach/sehen,查看、审阅,er sieht nach,Sehen Sie mal nach; wie viel sie kostet!
adj,,billig,便宜的、廉价的,,Gibt es keine billigeren?
n,die,Kasse,付款处,Pl. Kassen,Wo ist die Kasse?
n,der,September,九月,Pl. September,Im September habe ich Geburtstag.
n,der,Glückwunsch,庆祝、祝贺,Pl. Glückwünsche,Herzlichen Glückwunsch zum Geburtstag!
v,,wünschen,希望、祝愿、想要,,Ich wünsche dir/Ihnen viel Glück!
n,der,Pullover,套头毛衣、套衫,Pl. Pullover,Lea sucht einen Pullover.
adj,,kaputt,坏的、破碎的,,Mein Handy ist kaputt.
n,die,Leute,人们,Pl. Leute,Kleider machen Leute.
n,der,Spaziergang,散步,,Nach dem Essen soll man einen Spaziergang machen.
n,der,Fahrstuhl,电梯,Pl. Fahrstühle,Im Mädchenwohnheim gibt es zwei Fahrstühle.
pron,,ander,其他的(人或物); 别的; 另外的; 其他的,,Wo sind die anderen?
adj,,praktisch,实际的、实用的,,Das Messer aus der Schweiz ist teuer; aber praktisch.
