type,gender,word,cn,forms,example
n,die,Waage,天秤,Pl. Waagen,Das ist eine Waage.
n,die,Mappe,书包、纸夹,Pl. Mappen,Das ist eine Mappe.
n,der,Kaffee,咖啡,,Trinken Sie Kaffee?
n,das,Hemd,衬衫,Pl. Hemden,Das Hemd ist aus China.
n,das,Huhn,鸡,Pl. Hühner,Das Huhn ist groß.
n,der,Mund,口、嘴,Pl. Münder,Mit dem Mund spricht man.
n,das,Kino,电影院,Pl. Kinos,Ich gehe ins Kino.
n,das,Taxi,出租车,Pl. Taxis,Da ist ein Taxi.
n,der,Ofen,炉子,Pl. Öfen,Der Ofen ist alt.
n,das,Boot,小船、小艇,Pl. Boote,Das ist ein Boot.
n,der,Pass,护照,Pl. Pässe,Hier sind zwei Pässe.
n,das,Obst,水果,,Das Obst ist frisch.
n,das,Bett,床,Pl. Betten,Das Bett ist breit.
n,das,Kind,小孩,Pl. Kinder,Das Kind ist glücklich.
n,die,Kanne,壶,Pl. Kannen,Ist das eine Teekanne?
n,das,Gas,煤气、气体,Pl. Gase,Gib mehr Gas!
n,der,Mann,男人,Pl. Männer,Der Mann ist stark.
n,die,Nase,鼻子,Pl. Nasen,Die Nase ist lang.
n,der,Fuß,脚、足,Pl. Füße,Ein Mensch hat zwei Füße.
n,die,Sonne,太阳,Pl. Sonnen,Die Sonne steigt.
n,die,Fahne,旗、旗帜,Pl. Fahnen,Die Fahne hat drei Farben.
n,die,Vase,花瓶,Pl. Vasen,Die Vase ist aus Porzellan.
adj,,gut,好的,,Mein Deutsch ist gut.
n,der,Tag,白天,Pl. Tage,Guten Tag!
pron,,ich,我,,Ich heiße Zhao Jianhui.
v,,heißen,名叫,,Wie heißen Sie?
pron,,mein,我的,,Mein Name ist Sophie Lehmann.
n,der,Name,名字,Pl. Namen,Wie ist Ihr Name?
v,,sein,是,er ist,Ich bin aus China.
v,,kommen,来,,Woher kommen Sie?
prep,,aus,从……,,Ich komme aus China.
n,das,China,中国,,China ist groß.
conj,,und,和、与,,Sophie und ich lernen Deutsch.
pron,,Sie,您、您们,,Kommen Sie?
n,das,Deutschland,德国,,Er kommt aus Deutschland.
n,das,Eis,冰淇淋,,Das Kind mag Eis.
n,der,Mais,玉米,,Ich mag Mais.
n,das,Auge,眼睛,Pl. Augen,Meine Augen sehen gut.
n,die,Faust,拳头,Pl. Fäuste,Er macht den Urlaub auf eigene Faust.
